time,Open,Close,High,Low,Volume,Trade_Count,num_blocks,avg_diff,avg_gas_limit,total_gas_used,avg_block_size,num_transactions
2021-09-20 11:00:00+00:00,3120.21,3042.31,3129.05,3012.8,7829.08008753,4095.0,244,8962140306923288,30017167.29508196,3921544027,89778.52049180323,47025
2021-09-20 12:00:00+00:00,3042.19,3021.38,3071.49,2920.0,14619.47324587,6176.0,256,8840980157770785,30010640.26171876,3983189090,81134.17578124997,51602
2021-09-20 13:00:00+00:00,3022.59,3088.36,3090.99,2983.6,7466.27977042,3596.0,302,8894198809757192,30014351.24834438,4545703503,73694.34437086097,58712
2021-09-20 14:00:00+00:00,3088.4,3059.21,3093.46,3045.0,3358.41418751,1772.0,261,8968222785922435,30012904.80842912,4072282536,63579.275862068964,41865
2021-09-20 15:00:00+00:00,3059.27,3090.39,3097.8,3034.0,2310.83756255,1647.0,284,8950636803499743,30008043.95422534,4292841775,90209.92957746486,52916
2021-09-20 16:00:00+00:00,3087.52,3093.94,3123.93,3061.76,1453.08401351,1457.0,291,9067329607012912,30009864.75257731,4579012382,61391.24398625429,46789
2021-09-20 17:00:00+00:00,3093.94,3100.05,3112.22,3074.14,1101.22582021,975.0,252,9063679977537613,30011855.82142856,3866874854,85135.57539682543,46070
2021-09-20 18:00:00+00:00,3102.04,3019.0,3106.09,3010.0,3366.10362808,1988.0,267,9026123034443972,30012395.50936329,4105010331,89654.84269662922,48739
2021-09-20 19:00:00+00:00,3019.0,3073.0,3074.94,2974.39,4185.29195632,2782.0,272,9030854069066224,30012168.44117647,4166138008,94922.47426470587,49889
2021-09-20 20:00:00+00:00,3073.0,3016.68,3080.79,2986.36,1832.75934224,1559.0,286,9173480887208932,30011061.10139859,4423956080,87081.32167832169,53357
2021-09-20 21:00:00+00:00,3018.44,3016.55,3047.79,3008.51,754.46789314,1124.0,282,9181723342701632,30011217.070922,4329774237,81487.8439716312,42258
2021-09-20 22:00:00+00:00,3016.74,2988.79,3059.9,2964.27,1537.98090124,1504.0,264,9243706340644291,30013426.742424224,4098355900,93069.03409090909,47575
2021-09-20 23:00:00+00:00,2990.25,2976.91,3014.9,2945.2,3072.57117726,2148.0,262,9282307978204319,30012961.27862596,4128412441,80127.11832061071,45573
2021-09-21 00:00:00+00:00,2976.41,2880.7,2978.09,2807.1,14448.01830679,6971.0,266,9213822775092897,30009360.17293232,4074134586,76968.46240601504,46276
2021-09-21 01:00:00+00:00,2880.7,2993.12,2999.99,2874.21,3912.34436847,2404.0,268,9180257421616649,30010384.17537313,4099932624,100756.64925373133,49698
2021-09-21 02:00:00+00:00,2992.34,3022.82,3028.0,2979.52,1623.87686522,1365.0,275,9176334249802858,30028768.40000001,4171000082,90493.5781818182,56983
